book,ts_code,position,value,wavg_cost,return,pct_return
yz,600406.SH,23300.0,424812.8248863258,17.87988662121762,8211.466611955315,1.9710609312385643
yz,600038.SH,1525.0,61950.818361955084,40.251123487883575,567.8550429326351,0.925102035203729
jx,600522.SH,-19125.0,-170602.8107562626,9.140879248298502,4216.50486744626,2.4119216188456583
yz,cash,19502693.54105809,19502693.54105809,0.0,19502693.54105809,0.0
jx,cash,30154122.2118526,30154122.2118526,0.0,30154122.2118526,0.0
jx,601800.SH,2496.0,27306.239999999998,11.036531224152194,-240.9419354838792,-0.8746518465960353
yz,600406.SH,24232.0,436819.8934457137,17.88573470645832,3412.770038815681,0.7874282296028742
yz,600038.SH,1586.0,65295.67761558785,40.28961887453127,1396.3420805812493,2.1852215972046807
jx,600522.SH,-19890.0,-178410.44271637182,9.133705067274018,3258.951071708405,1.793891091809342
yz,cash,19483083.91281001,19483083.91281001,0.0,19483083.91281001,0.0
jx,cash,30159849.150323868,30159849.150323868,0.0,30159849.150323868,0.0
jx,601800.SH,2592.0,28149.12,11.031922043010756,-445.6219354838795,-1.5584051658493792
yz,600406.SH,25164.0,462495.8453765111,17.904212333555222,11954.246214927523,2.6533057629247274
yz,600038.SH,1647.0,66694.11732166447,40.30023559708657,319.62929326288577,0.4815544386965616
jx,600522.SH,-20655.0,-183229.6884126796,9.123403159494039,5214.203846669785,2.766979488777297
yz,cash,19463636.897885334,19463636.897885334,0.0,19463636.897885334,0.0
jx,cash,30165555.334887207,30165555.334887207,0.0,30165555.334887207,0.0
jx,601800.SH,2688.0,29137.92,11.026927803379419,-502.46193548387964,-1.6951938628103815
yz,600406.SH,26096.0,474512.0447865143,17.914372237276176,7018.586882555217,1.501323016160175
yz,600038.SH,1708.0,69724.37310435931,40.321805743969634,854.7288936591794,1.2410821973237114
jx,600522.SH,-21420.0,-189380.4682417191,9.112778563150693,5815.248580968735,2.979188619313404
yz,cash,19444234.286604203,19444234.286604203,0.0,19444234.286604203,0.0
